ZIP,COUNTYFIPS,CountyName,ZIPname,Allocation
01001,25013,Hampden MA,AGAWAM,1
01002,25011,Franklin MA,CUSHMAN,0.015
01002,25015,Hampshire MA,CUSHMAN,0.985
01005,25027,Worcester MA,BARRE,1
01007,25015,Hampshire MA,BELCHERTOWN,1
01008,25013,Hampden MA,BLANDFORD,1
01010,25013,Hampden MA,BRIMFIELD,1
01011,25003,Berkshire MA,CHESTER,0.217
01011,25013,Hampden MA,CHESTER,0.581
01011,25015,Hampshire MA,CHESTER,0.202
01012,25015,Hampshire MA,CHESTERFIELD,1
01013,25013,Hampden MA,CHICOPEE,1
01020,25013,Hampden MA,CHICOPEE,1
01022,25013,Hampden MA,WESTOVER AFB,1
01026,25015,Hampshire MA,CUMMINGTON,1
01027,25015,Hampshire MA,MOUNT TOM,1
01028,25013,Hampden MA,EAST LONGMEADOW,1
01029,25003,Berkshire MA,EAST OTIS,1
01030,25013,Hampden MA,FEEDING HILLS,1
01031,25027,Worcester MA,GILBERTVILLE,1
01032,25015,Hampshire MA,GOSHEN,1
01033,25013,Hampden MA,GRANBY,0.006
01033,25015,Hampshire MA,GRANBY,0.994
01034,25013,Hampden MA,TOLLAND,1
01035,25015,Hampshire MA,HADLEY,1
01036,25013,Hampden MA,HAMPDEN,1
01037,25027,Worcester MA,HARDWICK,1
01038,25015,Hampshire MA,HATFIELD,1
01039,25015,Hampshire MA,HAYDENVILLE,1
01040,25013,Hampden MA,HOLYOKE,1
01050,25013,Hampden MA,HUNTINGTON,0.044
01050,25015,Hampshire MA,HUNTINGTON,0.956
01053,25015,Hampshire MA,LEEDS,1
01054,25011,Franklin MA,LEVERETT,1
01056,25013,Hampden MA,LUDLOW,1
01057,25013,Hampden MA,MONSON,1
01060,25015,Hampshire MA,FLORENCE,1
01062,25015,Hampshire MA,1062,1
01068,25027,Worcester MA,OAKHAM,1
01069,25013,Hampden MA,PALMER,1
01070,25015,Hampshire MA,PLAINFIELD,1
01071,25013,Hampden MA,RUSSELL,1
01072,25011,Franklin MA,SHUTESBURY,1
01073,25015,Hampshire MA,SOUTHAMPTON,1
01075,25015,Hampshire MA,SOUTH HADLEY,1
01077,25013,Hampden MA,SOUTHWICK,1
01080,25013,Hampden MA,THREE RIVERS,1
01081,25013,Hampden MA,WALES,1
01082,25015,Hampshire MA,WARE,0.975
01082,25027,Worcester MA,WARE,0.025
01083,25027,Worcester MA,WARREN,1
01084,25015,Hampshire MA,WEST CHESTERFIEL,1
01085,25013,Hampden MA,MONTGOMERY,1
01088,25015,Hampshire MA,W HATFIELD,1
01089,25013,Hampden MA,WEST SPRINGFIELD,1
01092,25027,Worcester MA,WEST WARREN,1
01095,25013,Hampden MA,WILBRAHAM,1
01096,25015,Hampshire MA,WILLIAMSBURG,1
01098,25015,Hampshire MA,WORTHINGTON,1
01103,25013,Hampden MA,SPRINGFIELD,1
01104,25013,Hampden MA,SPRINGFIELD,1
01105,25013,Hampden MA,SPRINGFIELD,1
01106,25013,Hampden MA,LONGMEADOW,1
01107,25013,Hampden MA,SPRINGFIELD,1
01108,25013,Hampden MA,SPRINGFIELD,1
01109,25013,Hampden MA,SPRINGFIELD,1
01118,25013,Hampden MA,SPRINGFIELD,1
01119,25013,Hampden MA,SPRINGFIELD,1
01128,25013,Hampden MA,SPRINGFIELD,1
